id,content,score
4ac18de8-5f36-4b83-ad29-27ac4a871ecf,Then and one mau Tap.book Tnmk and love TikTok ! H,5
35ae4a9e-0d13-4dfb-be33-e1036472534c,"TikTok needs to offer an easier way to delete 'collection folders'. There's no option to delete a folder & all the content in it. You have to individually delete each video and there's no option to delete the empty folder. Very annoying, especially if the folder is no longer needed. If I'm wrong, then please advise how to delete the folder and I'll update my review.",1
1625e3dc-4318-4f9a-9bf7-3bfc51066726,its so good but please change the 10 to up more minutes because I need to send my mom things,5
d4b73881-cf07-40e8-9d88-92f5e6d107b1,jadii_804 video viral,5
267f6551-1705-4339-a827-3e62b2efe379,great there is a great,5
7abf146a-e95c-4ade-9680-a561e01fe83b,One of the best for happenes,4
7677da60-a6c4-4e6d-b25b-064b2e508311,I really enjoyed listening to them.,5
72943257-13c1-4c0d-9f08-592935185bea,can't open the videos. It sends me to the pages to enable. I'm not happy at all. I didn't have problems with it before.,1
e065dbc9-b331-4623-badd-7f35ce1f5cd4,"very good indeed, I like it",5
bb21dc93-d23a-4b9a-99e8-47c406819e34,"Be great if you could have real people instead of all ai. it never helps at all, and apparently neither do the actually people that work there, the real people you talk to sound just like bots and they dont do anything to help, so make sure you never have problems because tiktok wont help you",1
76e7d833-ddd1-4bc5-a733-e596e2ab0ec3,I get updates rlly late and it's ur fault,2
e1090088-e1ce-4f5e-9fa1-50ce133646b7,"Very good, the only problem is that mine takes a long time to update, so I have to come here.",5
d6e886d3-f098-4251-a36f-caac5074a1a5,ads are extremely inappropriate not safe for children,1
bee85385-28ab-44a7-a4b2-90c80252bc16,What's with 3 updates?In one month bit inconvenient and annoying,4
9124dfa6-6e17-49e9-a732-b35a8fe12275,"lags too much, too many policies & rules too much censorship...",1
a23675ac-6b5b-42e0-a00e-9b758813ffd0,this is the worst app i have ever seen,1
fdaf0973-4d43-4500-a45b-b211930a4061,this is too much good,5
0f07dc21-2ce3-4619-b07e-964c83698f59,this is so funeiest app,5
a0fbcf26-b1e6-4653-a35e-79c8968e6429,please my tiktok I'd convert in earning watch videos,5
cd6e95ee-d119-4e0e-adc5-daca4be10d37,"signed up with my phone number, immediately got banned before even posting content or commenting on anyone's video. since no email is associated with the account I'm prevented from using the appeals process. Emailing them directly from another email resulted in a ""Mailbox does not receive messages"" response. Tiktok clearly hates nonprofits trying to make a difference in the lives of senior dogs. response: I can't report through the app because the lack of email. Try reading the review.",1
810d3819-01b4-4ce5-b78b-b618d35d8e33,The app can freeze when I go to live streaming it stops working,2
d965374f-6823-4737-8287-985ca34f1e08,TikTok is very nice app,5
0adc3a08-d2e7-4f66-9cc1-60026723f13d,Used to be brilliant but now I get adverts every couple of videos.,3
23dc0ab1-1963-4097-a7af-936718566b54,Personally it helped me understand the world better but 1 thing i disliked was the comment part when i opened comment sections to comment its come from the bottom and somehow which to the side which is annoying cuz i like it coming from the bottom but whenever i went onto tiktok it would make me happy and smile and i feel like tiktok is easy and gets me. Hope you found this review helpful.,4
7a976f8e-3cc9-4dd3-814b-723c93c053c0,I don't have a streak pet and don't have the option to create one.,1
57ffebaa-d6be-46c1-9963-3e152e7f6110,alirazabhai3201 direct message in not my account,1
0cba5d34-6b5c-47c1-88cc-12d9af743792,I have 3826 followers and I am posting my best video but the views are not coming more than ten and none of my videos are going viral please fix it my tiktok username s.656_,3
16c70b8c-da88-47c2-80f0-816f96b09b8a,I am FACING the issues visibility of comments. please fix the bug as soon as possible.,1
21366cf0-94b3-4485-9619-81c83e9ffad0,"I love the new animations, they are sooo creative!",5
dddcf39a-1193-44e1-92a5-0ab45bc06b0f,the original didn't need to advertise... they didn't censor either,1
